file name,author,genre,last_date_read,cover
Project Hail Mary by Andy Weir,Andy Weir,"fiction, science fiction, adventurous, funny, hopeful, medium-paced, fiction, science fiction, adventurous, funny, hopeful, medium-paced",2026-02-23,https://cdn.thestorygraph.com/3nw6weyj2bt3uhsp32r76a4krrzk
The Mystery of the Screaming Clock by Robert Arthur,Robert Arthur,"fiction, middle grade, mystery, adventurous, mysterious, fast-paced, fiction, middle grade, mystery, adventurous, mysterious, fast-paced",2026-02-13,https://cdn.thestorygraph.com/13zqx3gflrdwmjv5d6i6yaxt7jx0
Hickory Dickory Dock by Agatha Christie,Agatha Christie,"fiction, classics, crime, mystery, mysterious, medium-paced, fiction, classics, crime, mystery, mysterious, medium-paced",2026-02-10,https://cdn.thestorygraph.com/4eno1jv2nu68t8hyaunwmhenb87z
Everything There Is by M G Vassanji,M G Vassanji,"fiction, historical, literary, fiction, historical, literary",2026-02-05,https://cdn.thestorygraph.com/iwno3012szbiveda9lodqwhuord2
The Body in the Library by Agatha Christie,Agatha Christie,"fiction, classics, crime, mystery, mysterious, medium-paced, fiction, classics, crime, mystery, mysterious, medium-paced",2026-01-21,https://cdn.thestorygraph.com/c9i9sldiib3lftne13xcpredr30m
The Wife Upstairs by Freida McFadden,Freida McFadden,"fiction, thriller, dark, mysterious, tense, fast-paced, fiction, thriller, dark, mysterious, tense, fast-paced",2026-01-09,https://cdn.thestorygraph.com/ecz5bmtj3p6pz38rjd1zago5a03j
The White Tiger by Aravind Adiga,Aravind Adiga,"fiction, contemporary, literary, dark, funny, fast-paced, fiction, contemporary, literary, dark, funny, fast-paced",2026-01-05,https://cdn.thestorygraph.com/kt4uo5s72sev9ic9deaamj5zt5em
Jungle Nama A Story of the Sunderban by Amitav Ghosh,"Amitav Ghosh, Salman Toor","fiction, fantasy, poetry, adventurous, slow-paced, fiction, fantasy, poetry, adventurous, slow-paced",2025-12-31,https://cdn.thestorygraph.com/c815bb4cqgv7oj7cd4rjw5sn6bzs
The Sittaford Mystery by Agatha Christie,Agatha Christie,"fiction, classics, crime, mystery, mysterious, medium-paced, fiction, classics, crime, mystery, mysterious, medium-paced",2025-12-18,https://cdn.thestorygraph.com/s2cyz6a4dis9j23vb0t8dr7d4fno
The Hungry Tide by Amitav Ghosh,Amitav Ghosh,"fiction, historical, adventurous, emotional, reflective, medium-paced, fiction, historical, adventurous, emotional, reflective, medium-paced",2025-12-08,https://cdn.thestorygraph.com/nd069nq3a0xp2f33rtvkdloxfp4t
Cat Among the Pigeons by Agatha Christie,Agatha Christie,"fiction, classics, crime, mystery, mysterious, medium-paced, fiction, classics, crime, mystery, mysterious, medium-paced",2025-11-27,https://cdn.thestorygraph.com/xkuftheww1u4a4wignmnuvvzc3oz
Firestarter by Stephen King,Stephen King,"fiction, horror, science fiction, thriller, adventurous, dark, tense, medium-paced, fiction, horror, science fiction, thriller, adventurous, dark, tense, medium-paced",2025-11-21,https://cdn.thestorygraph.com/kf1eogmjiroqnmbpt233prc3lqgr
Tamas by Bhisham Sahni,"Bhisham Sahni, Daisy Rockwell","fiction, historical, challenging, dark, reflective, slow-paced, fiction, historical, challenging, dark, reflective, slow-paced",2025-11-03,https://cdn.thestorygraph.com/l5ydiqn13bk0kgn3jvjyr4wh29gr
